"country_name","elon_count","ukraine_count","covid_count","oscars_count"
"Bangladesh",36,81,57,10
"Denmark",11,100,78,12
"Estonia",3,100,7,1
"Ethiopia",11,43,27,16
"France",55,100,99,98
"Greece",22,100,49,9
"India",100,100,100,97
"Indonesia",100,99,98,99
"Kenya",98,100,99,99
"Lebanon",8,35,7,4
"Mexico",60,100,100,98
"Pakistan",100,99,100,54
"Poland",16,100,44,11
"Portugal",35,100,99,57
"South Korea",7,100,60,12
"Spain",72,100,100,96
"Sweden",38,100,68,20
"Turkey",100,100,56,48
"United Kingdom",100,100,100,99
"United States",100,100,100,100
