"country_name","num","total_index"
"Bangladesh",18,1.77777777777778
"Denmark",4,1.5
"Estonia",1,-2
"Ethiopia",5,1.2
"France",24,-0.583333333333333
"Greece",18,2.5
"India",44,0.681818181818182
"Indonesia",74,1.78378378378378
"Kenya",38,1.02631578947368
"Lebanon",5,2.2
"Mexico",28,0.285714285714286
"Pakistan",60,2.85
"Poland",8,-2.375
"Portugal",20,1.4
"South Korea",4,-0.5
"Spain",42,-0.0952380952380952
"Sweden",21,-0.904761904761905
"Turkey",54,0.962962962962963
"United Kingdom",67,-0.507462686567164
"United States",67,0.373134328358209
