"country_name","num","total_index"
"Bangladesh",6,-1.83333333333333
"Denmark",7,1.14285714285714
"Ethiopia",10,1.4
"France",37,-0.972972972972973
"Greece",2,-1
"India",64,-0.21875
"Indonesia",42,0.357142857142857
"Kenya",55,-0.581818181818182
"Lebanon",3,-2.33333333333333
"Mexico",30,-0.733333333333333
"Pakistan",29,-0.896551724137931
"Poland",7,-1.71428571428571
"Portugal",32,-1.59375
"South Korea",2,-3
"Spain",35,-1.22857142857143
"Sweden",14,-1.5
"Turkey",16,1.0625
"United Kingdom",58,-1.63793103448276
"United States",46,-0.717391304347826
