"country_name","num","total_index"
"Bangladesh",61,-2.45901639344262
"Denmark",64,-1.53125
"Estonia",82,-0.98780487804878
"Ethiopia",39,-1.87179487179487
"France",60,-0.566666666666667
"Greece",62,-0.709677419354839
"India",46,-0.608695652173913
"Indonesia",78,-1.20512820512821
"Kenya",71,-1.83098591549296
"Lebanon",24,-1.54166666666667
"Mexico",62,-0.629032258064516
"Pakistan",82,-1.08536585365854
"Poland",70,-0.542857142857143
"Portugal",69,-0.623188405797101
"South Korea",97,-3.80412371134021
"Spain",73,-0.383561643835616
"Sweden",74,-1.5
"Turkey",55,-1.70909090909091
"United Kingdom",84,-1.11904761904762
"United States",72,-1.58333333333333
