,index_v,tweet_text,country,country_name,place,created,rt,reply,like,quoted
0,1,Not a fan of Will Smith.... but I am an even LESS fan of Chris Rock. He had it coming. As the song goes.,SE,Sweden,2406f69310767a43,2022-04-17T21:12:51.000Z,0,0,0,0
1,2,"@what_pandas_eat @andreneves87 @fodiographer @nexta_tv @fiakarting No doubt, just answered for the question about racing under a Italian flag.

This bozo should get the will Smith treatment with a good Ole slap",SE,Sweden,e07bcb4e3f786eea,2022-04-11T11:45:25.000Z,0,0,1,0
2,3,Will Smith - This Goes Deeper Than You Thought https://t.co/LAtteAN5g6 via @rustyrockets,SE,Sweden,53feb50c6d16d2dc,2022-04-09T22:23:05.000Z,0,0,0,1
3,4,@Chinaxor A will smith holiday or..?,SE,Sweden,d56c5babcffde8ef,2022-04-09T20:54:18.000Z,0,2,1,0
4,5,The determination of US media to vilify Will Smith is getting scary. https://t.co/DqvRTyxZp2,SE,Sweden,6b9fbf597adbeafd,2022-04-09T14:23:43.000Z,6,5,73,1
5,6,And Will Smith acts aggressively entertaining for nothing. Quite appreciated in the western cult. Make yourself an eviction. https://t.co/JV0sw4tZCm,SE,Sweden,d56c5babcffde8ef,2022-03-31T21:40:14.000Z,0,0,0,0
6,7,"”With a single petulant blow, he advocated violence, diminished women, insulted the entertainment industry, and perpetuated stereotypes about the Black community.”

https://t.co/g0usieSfu8",SE,Sweden,d56c5babcffde8ef,2022-03-31T06:08:39.000Z,0,0,2,0
7,8,@AP Fuck Will Smith,SE,Sweden,6b9fbf597adbeafd,2022-03-30T22:32:45.000Z,0,0,0,0
8,9,"Still, I’m glad that Will Smith slapping Chris Rock merely confirms everything you’ve been saying for years. Really happy for you.",SE,Sweden,d56c5babcffde8ef,2022-03-29T21:21:53.000Z,0,2,1,0
9,10,"America has woken up, so we’re getting a whoooooole new wave of will smith takes. Remember, these are the ones that *weren’t* done yesterday. Hoooooo boy. https://t.co/N6V2vG7lNu",SE,Sweden,d56c5babcffde8ef,2022-03-29T21:19:04.000Z,0,1,5,0
10,11,"OK Twitter here is my side. FUCK WILL SMITH! FUCK HIS FAMILY, FUCK THE OSCARS. THE SMITHS WOULDN'T PISS ON YOU IF YOU WAS IN FIRE. Have a cup of tea and think about something real. ❤️",SE,Sweden,6b9fbf597adbeafd,2022-03-29T17:21:45.000Z,0,0,0,0
11,12,@RgbMasturbator Will smith most based human being ever,SE,Sweden,80fa7d473fb9a545,2022-03-29T14:16:14.000Z,0,0,1,0
12,13,The whole will Smith incident I'm turn but I feel I'm going to have the unpopular opinion of saying I understand a guy took an illness of wills wife and joked about it I sortof can understand that that was going over the line,SE,Sweden,53e060d6652640f4,2022-03-29T02:07:08.000Z,0,0,1,0
